Word,Morphs
antonses,antonses
chib'aanik,chi b'an ik
tanb'ij,t an b'ij
iin,iin
jinon,jilon
li,li
tijb'ij,ti j b'ij
taq,taq
qaqaaj,qa qaaj
qachuuch,qa chuuch
pwes,pwes
ti,ti
toos,entoos
qaqaaj,qa qaaj
qachuuch,qa chuuch
tinb'ij,t in b'ij
iin,iin
qaqaaj,qa qaaj
qachuuch,qa chuuch
tijb'ij,ti j b'ij
taq,taq
qamaam,qa maam
qet',q et'
ójor,ójor
ójor,ójor
taq,taq
tziij,tziij
li,li
ójor,ójor
cha',cha'
kongan,kon gaan
chee',chee'
kongan,kon gaan
sii',sii'
ri',ri'
li,li
tijb'ij,ti j b'ij
taq,taq
kongan,kon gaan
sii',sii'
kongana,kon gaan
chee',chee'
naqaaj,naqaaj
nimaq,nimaq
taq,taq
chee',chee'
entons,entoons
ri',ri'
li,li
tijb'ij,ti j b'ij
taq,taq
toos,entoons
kwand,kwand
wi',wi'
chee',chee'
cha',cha'
tpeti,t pet i'
jaab',jaab'
cha',cha'
kwando,kwaand
wi',wi'
ta't,ta' t
pores,pores
tijb'ij,ti j b'ij
taq,taq
li,li
ójor,ójor
taq,taq
tziij,tziij
kwand,kwand
ooj,ooj
xojk'iyk,x oj k'iy ik
ojb'enaa,oj b'en aa
li,li
sii',sii'
atb'i'tqa',at b'i' tqa'
li,li
sii',sii'
jataq,jat aq
li,li
sii',sii'
per,peer
makataq,m a kat aq
maq,maq
ra,ra
chee',chee'
porke,porke
maq,maq
ra,ra
chee',chee'
nimi',nim i'
jq'iij,j q'iij
makach',ma kach'
taq,taq
jwich,j wiich
taq,taq
ra,ra
chee',chee'
ta',ta'
t'el,t' el
awanm,aw anim
atkamk,at kam k
cha',cha'
taq,taq
toons,entoons
ri',ri'
li,li
toos,entoons
ri',ri'
limaq,nim aq
taq,taq
chee',chee'
toos,entoons
maa,maa
b'ensaj,b'an sáj
k'ex,k'ex
re,re
chee',chee'
porke,porke
chee',chee'
re,re
nimi',nim i'
jq'iij,j q'iij
nimi',nim i'
jpetiik,j pe iik
cha',cha'
taq,taq
chee',chee'
marechtqe,ma r ech t qe
marechtqe,ma r ech t qe
jun,jun
marechtqe,ma r ech t qe
kib',kib'
uxub',uxub'
q'iij,q'iij
jwich,j wiich
noke,noke
nimi',nim i'
jq'iij,j q'iij
cha',cha'
taq,taq
ri,ri
rere,re re
tijya's,t j ye' si'
tijya',ti j ya'
teew,teew
cha',cha'
taq,taq
tijya',ti j ya'
teew,teew
teew,teew
rech,r ech
taqajik',ta qa jik
qúxb',q úxb'
lamaas,lamaas
ta',ta'
tpew,t pe w
teew,teew
noke,noke
mism,miim
jwi'li',j wi'l i'
chee',chee'
tons,entoons
ri',ri'
